outlet,category,link
IndianExpress,editorial,https://indianexpress.com/article/opinion/editorials/express-view-on-new-delhi-cm-rekha-gupta-has-her-task-cut-out-9847415/
IndianExpress,editorial,https://indianexpress.com/article/opinion/editorials/delhi-election-results-aam-aadmi-message-9825163/
IndianExpress,editorial,https://indianexpress.com/article/opinion/editorials/express-view-on-assembly-poll-in-capital-the-idea-of-delhi-9819949/
IndianExpress,editorial,https://indianexpress.com/article/opinion/editorials/express-view-on-india-and-trump-2-0-delhis-challenges-9792018/
IndianExpress,editorial,https://indianexpress.com/article/opinion/editorials/express-view-on-india-bloc-a-crumbling-foretold-9772313/
IndianExpress,editorial,https://indianexpress.com/article/opinion/editorials/express-view-on-delhi-elections-local-is-national-9767862/
IndianExpress,column,https://indianexpress.com/article/opinion/columns/bjps-win-in-delhi-has-lessons-for-aap-9847455/
IndianExpress,column,https://indianexpress.com/article/opinion/columns/from-freebies-to-empowerment-new-bjp-government-will-have-to-tackle-delhis-welfare-dilemma-9847413/
IndianExpress,column,https://indianexpress.com/article/opinion/columns/rekha-gupta-bjp-choice-delhi-chief-minister-9845979/
IndianExpress,column,https://indianexpress.com/article/opinion/columns/pratap-bhanu-mehta-writes-bjps-delhi-challenge-and-the-capitals-future-9845309/
IndianExpress,column,https://indianexpress.com/article/opinion/columns/after-delhi-election-lesson-all-parties-listen-to-ground-9844496/
IndianExpress,column,https://indianexpress.com/article/opinion/columns/delhi-double-engine-sarkar-water-litmus-test-9851870/
IndianExpress,column,https://indianexpress.com/article/opinion/columns/rekha-gupta-elevation-as-delhi-cm-larger-question-about-womens-space-in-politics-9850265/
IndianExpress,column,https://indianexpress.com/article/opinion/columns/aap-delhi-sad-congress-punjab-9834636/
IndianExpress,column,https://indianexpress.com/article/opinion/columns/bjp-delhi-aap-assembly-polls-9831404/
IndianExpress,column,https://indianexpress.com/article/opinion/columns/what-aap-didnt-get-delhi-looks-for-results-9827062/
IndianExpress,column,https://indianexpress.com/article/opinion/columns/aap-delhi-loss-governance-model-full-circle-9825281/
IndianExpress,column,https://indianexpress.com/article/opinion/columns/assembly-elections-bjp-aap-2025-results-9825216/
IndianExpress,column,https://indianexpress.com/article/opinion/columns/aap-electoral-calamity-delhi-bjp-reinvent-aam-aadmi-9825198/
IndianExpress,column,https://indianexpress.com/article/opinion/columns/why-delhi-rejected-aap-kejriwal-anarchy-9824982/
IndianExpress,column,https://indianexpress.com/article/opinion/columns/delhi-aap-fall-bjp-return-9824912/
IndianExpress,column,https://indianexpress.com/article/opinion/columns/inside-track-who-is-in-charge-9799348/
TheHindu,editorial,https://www.thehindu.com/opinion/editorial/new-line-in-delhi-on-delhis-new-chief-minister/article69243291.ece
TheHindu,editorial,https://www.thehindu.com/opinion/editorial/common-mans-revenge-on-the-delhi-assembly-election-result/article69199590.ece
TheHindu,editorial,https://www.thehindu.com/opinion/editorial/power-and-prestige-on-the-delhi-assembly-elections-2025/article69180673.ece
TheHindu,editorial,https://www.thehindu.com/opinion/editorial/competitive-populism-on-parties-and-the-delhi-assembly-elections/article69136403.ece
TheHindu,editorial,https://www.thehindu.com/opinion/editorial/winter-contest-on-the-delhi-assembly-elections/article69081422.ece
NewsLaundry,column,http://www.newslaundry.com/2025/02/20/eurekha-newspapers-scrutinise-bjps-surprise-choice-of-rekha-gupta-for-delhi-cm
NewsLaundry,column,http://www.newslaundry.com/2025/02/10/common-mans-revenge-congress-played-spoilsport-editorials-unpick-aaps-big-loss-in-delhi
NewsLaundry,column,http://www.newslaundry.com/2025/02/08/reporters-without-orders-ep-357-how-bjp-planned-to-wrest-delhi-away-from-aap
NewsLaundry,column,http://www.newslaundry.com/2025/02/08/targeted-campaigns-special-wings-lg-factor-five-ways-the-bjp-scripted-its-success-in-delhi
NewsLaundry,column,http://www.newslaundry.com/2025/02/08/why-did-arvind-kejriwal-lose-his-assembly-seat-heres-all-the-reasons-why
NewsLaundry,column,http://www.newslaundry.com/2025/02/08/results-with-newslaundry-decoding-the-2025-delhi-mandate
NewsLaundry,column,http://www.newslaundry.com/2025/02/07/behind-the-mystery-pollsters-offering-predictions-through-exit-polls
NewsLaundry,column,http://www.newslaundry.com/2025/02/06/delhi-exit-polls-axis-my-india-todays-chanakya-join-the-chorus-to-predict-bjp-comeback
NewsLaundry,column,http://www.newslaundry.com/2025/02/05/delhi-2024-exit-polls-give-bjp-an-easy-victory-ahead-of-results-day
NewsLaundry,column,http://www.newslaundry.com/2025/02/03/another-election-show-can-new-parties-and-candidates-make-any-difference
NewsLaundry,column,http://www.newslaundry.com/2025/02/01/ahead-of-delhi-polls-troubled-waters-of-yamuna-at-the-centre-of-political-slugfest
NewsLaundry,column,http://www.newslaundry.com/2025/02/01/another-election-show-can-modi-magic-work-in-delhi
NewsLaundry,column,http://www.newslaundry.com/2025/01/31/hate-speech-and-accusations-of-bribing-voters-parvesh-verma-takes-on-kejriwal-in-new-delhi-battle
NewsLaundry,column,http://www.newslaundry.com/2025/01/31/manifestoes-on-air-pollution-aap-silent-bjp-vows-50-drop-cong-offers-little
NewsLaundry,column,http://www.newslaundry.com/2025/01/31/what-choice-do-we-have-anger-and-apathy-in-delhi-seats-with-decisive-sikh-vote
NewsLaundry,column,http://www.newslaundry.com/2025/01/25/delhi-cm-atishi-on-unkept-jobs-promise-aaps-soft-hindutva-kejriwals-future
NewsLaundry,column,http://www.newslaundry.com/2025/01/22/final-voter-list-in-kejriwals-constituency-out-how-many-were-added-or-deleted
NewsLaundry,column,http://www.newslaundry.com/2025/01/21/inside-the-delhi-assembly-which-has-never-voted-for-aap
NDTV,column,https://www.ndtv.com/opinion/bjps-choice-for-delhi-cm-rekha-gupta-follows-script-refined-over-10-years-7754573
NDTV,column,https://www.ndtv.com/opinion/delhi-elections-delhi-yeh-dilli-maange-more-7687273
NDTV,column,https://www.ndtv.com/opinion/with-delhi-congress-sends-a-strong-message-to-allies-7683510
NDTV,column,https://www.ndtv.com/opinion/how-the-middle-class-turned-delhis-fate-7678035
NDTV,column,https://www.ndtv.com/opinion/delhi-elections-how-bjp-turned-its-weakness-into-an-advantage-7665258
NDTV,column,https://www.ndtv.com/opinion/delhi-polls-and-aap-rout-is-this-a-setback-or-a-wipeout-only-kejriwal-can-decide-7663263
NDTV,column,https://www.ndtv.com/opinion/aap-vs-bjp-in-delhi-why-its-raining-manifestos-7550072
NDTV,column,https://www.ndtv.com/opinion/aap-vs-bjp-who-will-charm-delhis-middle-class-7540350
NDTV,column,https://www.ndtv.com/opinion/why-does-the-bjp-need-congresss-help-in-delhi-7496046
NDTV,column,https://www.ndtv.com/opinion/delhi-elections-bjp-still-hasnt-found-an-answer-to-kejriwal-7478022
NDTV,column,https://www.ndtv.com/opinion/opinion-will-delhi-spring-a-surprise-for-bjp-this-year-7418673
TheWire,column,https://thewire.in/politics/delhi-bjp-victory-scripted-power-grab-strategy
TheWire,column,https://thewire.in/politics/aap-and-why-the-delhi-assembly-polls-were-a-natural-fallout
TheWire,column,https://thewire.in/politics/in-aaps-provenance-lies-the-reason-for-its-defeat
TheWire,column,https://thewire.in/politics/kejriwal-rode-the-anti-corruption-wave-now-it-has-washed-him-away
TheWire,column,https://thewire.in/politics/bjp-aap-delhi-assembly-election-modi
OpIndia,column,https://www.opindia.com/2025/02/everything-that-is-wrong-with-this-indian-express-article-on-maha-kumbh-by-du-professor-savita-jha/
OpIndia,column,https://www.opindia.com/2025/02/aam-aadmi-party-future-in-doubt-after-delhi-loss-is-punjab-at-risk/
Republic,column,https://www.republicworld.com/opinion/rekha-gupta-as-delhi-cm-pm-modis-masterstroke
Republic,column,https://www.republicworld.com/opinion/why-bjp-picked-rekha-gupta-as-the-delhi-chief-minister
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/atishi-is-more-perfect-in-the-role-of-opposition-leader-will-become-a-threat-to-arvind-kejriwal-opns2-dskc-2176637-2025-02-26
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/cm-rekha-gupta-ambedkar-and-bhagat-singh-photo-controversy-in-delhi-cm-office-dskc-2176394-2025-02-26
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/atishi-acting-on-new-role-of-leader-of-opposition-face-to-face-with-ruling-bjp-opnm1-dskc-2174712-2025-02-24
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/how-challenging-will-be-targeting-new-delhi-cm-rekha-gupta-for-arvind-kejriwal-and-congress-opnm1-dskc-2171678-2025-02-20
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/rekha-gupta-beats-all-cm-contenders-in-bjp-as-leadership-approves-a-woman-name-for-delhi-opnm1-dskc-2171508-2025-02-20
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/delhi-cm-kejriwal-aatishi-woman-first-cm-worker-bjp-hit-many-targets-with-one-arrow-of-rekha-gupta-ntc-dskc-2171269-2025-02-19
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/5-major-challenges-in-front-of-new-delhi-chief-minister-to-be-decided-by-bjp-soon-opns2-dskc-2170954-2025-02-19
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/bjp-delhi-cm-will-have-performance-and-leave-kejriwal-far-behind-at-any-cost-opnm1-dskc-2169248-2025-02-17
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/who-will-become-delhi-cm-how-far-ahead-are-pravesh-verma-ashish-sood-and-rekha-gupta-in-the-race-opns2-dskc-2166952-2025-02-14
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/will-tejashwi-yadav-and-rahul-gandhi-take-lessons-from-delhi-assembly-elections-and-bjp-jdu-combined-opns2-dskc-2165444-2025-02-12
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/mamata-banerjee-on-bjp-target-number-1-after-defeating-arvind-kejriwal-in-delhi-election-opnm1-dskc-2165094-2025-02-12
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/arvind-kejriwal-can-learn-from-mistakes-and-bounce-back-delhi-election-defeat-can-not-finish-party-or-politics-opnm1-dskc-2164396-2025-02-11
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/who-will-become-new-delhi-cm-fulfilling-these-4-criteria-of-bjp-opns2-dskc-2163525-2025-02-10
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/kejriwal-politics-succumbs-to-self-styled-honesty-claims-against-delhi-excise-policy-corruption-case-opnm1-dskc-2163236-2025-02-10
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/reasons-why-arvind-kejriwal-lost-new-delhi-seats-in-delhi-chunav-parinam-2025-live-opns2-dskc-2161993-2025-02-08
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/who-will-be-new-delhi-chief-minister-by-bjp-after-delhi-election-results-2025-opns2-dskc-2161884-2025-02-08
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/arvind-kejariwal-delhi-election-aam-admi-party-reasons-for-the-defeat-of-kejriwal-and-aap-ntcpvp-dskc-2161881-2025-02-08
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/why-aam-aadmi-party-defeated-in-delhi-election-results-2025-here-are-6-reasons-that-kejriwal-is-aware-of-opns2-dskc-2161776-2025-02-08
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/kejriwal-claims-bjp-tried-to-buy-16-aap-candidates-without-proof-aap-has-list-of-allegations-made-during-delhi-elections-opns2-dskc-2160949-2025-02-07
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/bjp-can-elect-new-delhi-cm-on-these-3-formulas-if-it-wins-delhi-assembly-elections-opns2-dskc-2160543-2025-02-06
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/if-aam-aadmi-party-loses-delhi-elections-like-exit-poll-indicating-will-impact-punjab-politics-too-opns2-dskc-2160386-2025-02-06
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/how-bjp-neutralised-arvind-kejriwal-agendas-in-delhi-assembly-election-opns2-dskc-2159634-2025-02-05
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/pm-narendra-modi-attack-on-arvind-kejriwal-in-lok-sabha-will-benefit-bjp-or-not-in-delhi-election-opnm1-dskc-2159374-2025-02-05
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/latest-c-voter-survey-after-union-budget-reveals-that-near-certain-victory-for-aap-is-becoming-a-knife-edge-contest-ntcpan-rpti-2158575-2025-02-04
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/kejriwal-trapped-on-dalit-muslim-seats-in-delhi-elections-after-congress-and-aap-face-off-opns2-dskc-2158423-2025-02-04
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/arvind-kejriwal-claim-of-winning-55-seats-in-delhi-election-has-some-ground-or-not-opnm1-dskc-2158410-2025-02-04
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/will-bjp-get-an-edge-in-delhi-elections-due-to-increase-in-income-tax-slabs-in-union-budget-2025-opns2-dskc-2158014-2025-02-03
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/pm-modi-offers-delhi-voter-guarantee-over-kejriwal-delhi-government-free-schemes-opnm1-dskc-2157734-2025-02-03
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/is-kejriwal-trapped-on-yamuna-clean-water-issue-in-delhi-elections-after-bjp-and-rahul-gandhi-attack-opns2-dskc-2157737-2025-02-03
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/new-delhi-seat-arvind-kejriwal-strategy-ruined-by-increasing-income-tax-exemption-opns2-dskc-2156622-2025-02-01
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/why-has-arvind-kejriwal-become-worse-than-pm-narendra-modi-for-rahul-gandhi-during-delhi-elections-opns2-dskc-2155819-2025-01-31
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/swati-maliwal-fight-aginst-arvind-kejriwal-and-aap-in-delhi-election-is-this-a-revenge-or-bjp-plan-opnm1-dskc-2155715-2025-01-31
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/why-congress-promising-caste-census-in-delhi-assembly-elections-here-are-the-reasons-opns2-dskc-2155296-2025-01-30
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/dalits-voting-kejriwal-showing-interest-in-congress-and-bjp-in-delhi-election-2025-opnm1-dskc-2154341-2025-01-30
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/why-rahul-gandhi-come-out-against-arvind-kejriwal-here-is-the-strategy-of-congress-opns2-dskc-2154368-2025-01-29
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/arvind-kejriwal-trying-to-woo-voters-in-delhi-election-emotionally-through-his-interviews-and-speeches-opnm1-dskc-2149446-2025-01-28
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/arvind-kejriwal-fearing-drop-in-number-of-aap-seats-in-delhi-elections-why-opnm1-dskc-2150407-2025-01-28
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/arvind-kejriwal-issues-15-guarantees-accepts-he-failed-to-fulfill-3-poll-promises-from-2020-manifesto-opnm1-dskc-2152414-2025-01-27
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/pm-modi-and-congress-targets-arvind-kejriwal-for-alleged-corruption-by-aap-government-opnm1-dskc-2149229-2025-01-23
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/kejriwal-middle-class-menifesto-how-effective-is-aap-master-stroke-in-delhi-assembly-elections-opns2-dskc-2148677-2025-01-22
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/arvind-kejriwal-defeat-or-victory-in-delhi-assembly-elections-is-sure-to-stir-the-indian-politics-opns2-dskc-2147994-2025-01-21
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/arvind-kejriwal-faces-new-allegations-of-corruption-from-bjp-after-declaration-affidavit-opnm1-dskc-2145542-2025-01-17
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/bjp-promises-delhi-many-freebies-except-revdis-like-electricity-water-education-opnm1-dskc-2145640-2025-01-17
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/arvind-kejriwal-plan-to-distance-himself-from-rahul-gandhi-seems-to-be-failing-in-delhi-elections-opns2-dskc-2143707-2025-01-15
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/arvind-kejriwal-cannot-become-cm-again-bjp-pravesh-verma-mentioning-supreme-court-bail-conditions-opns2-dskc-2142374-2025-01-13
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/arvind-kejriwal-raising-demand-for-jat-reservation-will-cost-heavy-in-delhi-assembly-elections-opns2-dskc-2139939-2025-01-09
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/has-congress-surrendered-to-aam-aadmi-party-in-delhi-assembly-election-opns2-dskc-2139523-2025-01-09
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/arvind-kejriwal-performance-in-delhi-election-will-affect-bjp-and-congress-equally-opnm1-dskc-2139525-2025-01-09
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/delhi-assembly-election-displays-interesting-political-equations-of-india-bloc-opnm1-dskc-2138974-2025-01-08
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/arvind-kejriwal-made-a-blunder-by-not-forming-an-alliance-with-congress-in-the-delhi-assembly-elections-opns2-dskc-2138804-2025-01-08
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/chief-election-commissioner-clarification-on-election-commission-voter-deletion-evm-hacking-voter-turnout-opns2-dskc-2138190-2025-01-07
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/kejriwal-faces-parvesh-verma-and-sandeep-dikshit-on-new-delhi-assembly-seat-election-opnm1-dskc-2137987-2025-01-07
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/bjp-has-surrounded-aam-aadmi-party-and-kejriwal-in-delhi-assembly-elections-opns2-dskc-2137283-2025-01-06
TimesOfIndia,column,https://timesofindia.indiatimes.com/blogs/toi-edit-page/servant-leadership-true-power-lies-in-empathy/
TimesOfIndia,column,https://timesofindia.indiatimes.com/blogs/toi-editorials/start-small-in-capital/
TimesOfIndia,column,https://timesofindia.indiatimes.com/blogs/toi-edit-page/the-very-pragmatic-middle-class-poor/
TimesOfIndia,column,https://timesofindia.indiatimes.com/blogs/toi-edit-page/why-power-makes-aam-aadmi-khaas/
TimesOfIndia,column,https://timesofindia.indiatimes.com/blogs/toi-editorials/lesson-no-1/
TimesOfIndia,column,https://timesofindia.indiatimes.com/blogs/toi-edit-page/what-delhi-said-and-what-delhi-wants/
TimesOfIndia,column,https://timesofindia.indiatimes.com/blogs/toi-edit-page/as-kejriwals-delhi-model-loses-aapeal-two-key-questions-for-national-politics/
TimesOfIndia,column,https://timesofindia.indiatimes.com/blogs/toi-edit-page/the-battle-for-the-capital/
TimesOfIndia,column,https://timesofindia.indiatimes.com/blogs/toi-editorials/water-and-voter/
HindusanTimes,column,https://www.hindustantimes.com/opinion/bjps-ncr-moment-show-intent-to-address-pollution-101739806527202.html
HindusanTimes,column,https://www.hindustantimes.com/opinion/keeping-up-with-up-lessons-from-delhi-victory-for-uttar-pradesh-and-the-country-101739284438785.html
HindusanTimes,column,https://www.hindustantimes.com/opinion/delhi-results-are-likely-to-weaken-india-bloc-101739111725216.html
HindusanTimes,column,https://www.hindustantimes.com/opinion/delhi-debacle-tells-a-tale-of-kejriwal-s-fall-101739111548611.html
HindusanTimes,column,https://www.hindustantimes.com/opinion/how-the-aap-lost-its-plot-and-office-in-delhi-101739028604070.html
HindusanTimes,column,https://www.hindustantimes.com/opinion/what-explains-the-big-bjp-win-in-the-capital-101739028597471.html
Mint,column,https://www.livemint.com/opinion/online-views/delhi-middle-class-voters-bjp-won-election-narendra-modi-arvind-kejriwal-aap-atishi-bjp-mlas-parvesh-verma-kalkaji-11739171710891.html
Mint,column,https://www.livemint.com/opinion/online-views/delhi-election-result-aap-aam-aadmi-party-bjp-bharatiya-janata-party-arvind-kejriwal-atishi-new-cm-narendra-modi-lose-11739096797275.html
BusinessStandard,column,https://www.business-standard.com/opinion/editorial/now-to-governance-delhi-s-new-govt-has-opportunity-to-deliver-seamlessly-125022001340_1.html
BusinessStandard,column,https://www.business-standard.com/politics/aap-govt-s-delhi-excise-policy-caused-rs-2-000-crore-loss-cag-report-125022501224_1.html
BusinessStandard,column,https://www.business-standard.com/politics/delhi-assembly-session-aap-mlas-atishi-suspend-vijender-gupta-cag-report-125022500299_1.html
BusinessStandard,column,https://www.business-standard.com/india-news/first-session-of-delhi-s-8th-assembly-begins-post-bjp-s-return-to-power-125022400297_1.html
BusinessStandard,column,https://www.business-standard.com/india-news/rekha-gupta-delhi-cm-bjp-aap-atishi-exchequer-rs-2500-monthly-scheme-women-125022400205_1.html
BusinessStandard,column,https://www.business-standard.com/india-news/latest-live-elon-musk-gives-federal-workers-2-days-to-justify-their-jobs-or-risk-dismissal-125022300076_1.html
BusinessStandard,column,https://www.business-standard.com/india-news/delhi-cm-rekha-gupta-holds-meeting-with-pm-modi-at-his-residence-today-125022200378_1.html
BusinessStandard,column,https://www.business-standard.com/politics/delhi-cm-rekha-gupta-meets-president-droupadi-murmu-at-rashtrapati-bhavan-125022100658_1.html
BusinessStandard,column,https://www.business-standard.com/india-news/delhi-cm-rekha-gupta-slams-aap-congress-on-bjp-promises-125022100575_1.html
BusinessStandard,column,https://www.business-standard.com/politics/cong-aap-didn-t-address-issues-of-delhi-we-did-so-on-day-one-rekha-gupta-125022100449_1.html
BusinessStandard,column,https://www.business-standard.com/politics/mayawati-accuses-congress-of-being-bjp-s-b-team-in-delhi-elections-125022100270_1.html
BusinessStandard,column,https://www.business-standard.com/india-news/we-have-called-meeting-with-pwd-jal-board-officials-today-delhi-cm-gupta-125022100152_1.html
BusinessStandard,column,https://www.business-standard.com/politics/rekha-gupta-sworn-in-as-delhi-cm-bjp-s-delhi-dream-takes-shape-125022001427_1.html
BusinessStandard,column,https://www.business-standard.com/opinion/editorial/now-to-governance-delhi-s-new-govt-has-opportunity-to-deliver-seamlessly-125022001340_1.html
BusinessStandard,column,https://www.business-standard.com/india-news/delhi-portfolios-rekha-gupta-keeps-finance-parvesh-verma-gets-pwd-water-125022001324_1.html
BusinessStandard,column,https://www.business-standard.com/india-news/delhi-cm-rekha-gupta-ministers-perform-yamuna-aarti-at-vasudev-ghat-125022001067_1.html
BusinessStandard,column,https://www.business-standard.com/politics/rekha-gupta-s-cabinet-ensures-diverse-representation-in-delhi-govt-125022001030_1.html
BusinessStandard,column,https://www.business-standard.com/india-news/delhi-cm-rekha-gupta-to-assume-office-chair-first-cabinet-meeting-today-125022000650_1.html
BusinessStandard,column,https://www.business-standard.com/politics/rekha-gupta-delhi-cm-oath-taking-parvesh-verma-kapil-mishra-bjp-nda-125022000501_1.html
BusinessStandard,column,https://www.business-standard.com/politics/as-bjp-makes-a-comeback-in-delhi-after-27-years-challenges-await-new-govt-125022000414_1.html
BusinessStandard,column,https://www.business-standard.com/india-news/rekha-gupta-delhi-cm-cabinet-parvesh-verma-kapil-mishra-manjinder-sirsa-125022000228_1.html